Commodity,1986,Source,2018,Source,Index,Default
All Others,1,EEDB,2.2,CPI,2.2,1
BOP Pumps (1000 HP & above),1,EEDB,2.2,CPI,2.2,1
Carbon Steel Piping (NNS),110.4,[3] Iron and Steel (11/1987),240.4,[3] Iron and Steel (1/2019),2.18,1
Carbon Steel Piping (NS),110.4,[3] Iron and Steel (11/1987),240.4,[3] Iron and Steel (1/2019),2.18,1
Compressor,1,EEDB,2.2,CPI,2.2,1
Computers,1,EEDB,2.2,CPI,2.2,1
Concrete Fill,111.2,[3] Concrete ingredients and related products (11/1987),305.5,[3] Concrete ingredients and related products (1/2019),2.75,1
Copper Piping,1,EEDB,2.2,CPI,2.2,1
CPI,1,CPI,2.2,CPI,2.2,1
Cranes & Hoists,1,EEDB,2.2,CPI,2.2,1
Duct Runs and Wire Containers,1,EEDB,2.2,CPI,2.2,1
Electrical Balance of Plant,1,EEDB,2.2,CPI,2.2,1
Embedded Steel,110.4,[3] Iron and Steel (11/1987),240.4,[3] Iron and Steel (1/2019),2.18,1
Excavation (Rock/Earth),1,EEDB,2.2,CPI,2.2,1
Fan & Motor,1,EEDB,2.2,CPI,2.2,1
Fiberglass Piping,1,EEDB,2.2,CPI,2.2,1
Fill (Rock/Earth),1,EEDB,2.2,CPI,2.2,1
Filtration Equipment,1,EEDB,2.2,CPI,2.2,1
Fire Protection,1,EEDB,2.2,CPI,2.2,1
Formwork,1,EEDB,2.2,CPI,2.2,1
Galvanized Steel,1,EEDB,2.2,CPI,2.2,1
Heat Exchangers,1,EEDB,2.2,CPI,2.2,1
Heater,1,EEDB,2.2,CPI,2.2,1
HVAC,1,EEDB,2.2,CPI,2.2,1
Indirect,1,EEDB,2.2,CPI,2.2,1
Instrumentation and Control,1,EEDB,2.2,CPI,2.2,1
Iron & Steel,1,EEDB,2.2,CPI,2.2,1
Lighting & Service Power,1,EEDB,2.2,CPI,2.2,1
Nuclear Steam Supply System,1,EEDB,2.2,CPI,2.2,1
Paint,1,EEDB,2.2,CPI,2.2,1
Preformed Concrete,1,EEDB,2.2,CPI,2.2,1
Pumps,1,EEDB,2.2,CPI,2.2,1
PVC,1,EEDB,2.2,CPI,2.2,1
Reinforcing Steel,110.4,[3] Iron and Steel (11/1987),240.4,[3] Iron and Steel (1/2019),2.18,1
Sheet Metal,1,EEDB,2.2,CPI,2.2,1
Special Steel Liners,110.4,[3] Iron and Steel (11/1987),240.4,[3] Iron and Steel (1/2019),2.18,1
Stainless Steel Piping (NNS),110.4,[3] Iron and Steel (11/1987),240.4,[3] Iron and Steel (1/2019),2.18,1
Stainless Steel Piping (NS),110.4,[3] Iron and Steel (11/1987),240.4,[3] Iron and Steel (1/2019),2.18,1
Structural Concrete,101.9,[3] Cement(11/1987),255.9,[3] Cement (1/2019),2.51,1
Structural Steel,110.4,[3] Iron and Steel (11/1987),240.4,[3] Iron and Steel (1/2019),2.18,1
Tanks & Pressure Vessels,1,EEDB,2.2,CPI,2.2,1
Telephone & communications,1,EEDB,2.2,CPI,2.2,1
Turbine Generator,1,EEDB,2.2,CPI,2.2,1
Valves,109.6,[3] Machinery and equipment-Metal valves (11/1987),337.7,[3] Machinery and equipment-Metal valves (1/2019),3.08,1
Wire and Cable,112,[3] Electronic wire and cable (11/1987),259.6,[3] Electronic wire and cable (1/2019),2.32,1
